input,output,category_name,operations
derecho,t,translate_sp_eng_last,translate_sp_eng+last_letter
izquierdo,t,translate_sp_eng_last,translate_sp_eng+last_letter
arriba,p,translate_sp_eng_last,translate_sp_eng+last_letter
abajo,n,translate_sp_eng_last,translate_sp_eng+last_letter
dentro,e,translate_sp_eng_last,translate_sp_eng+last_letter
fuera,e,translate_sp_eng_last,translate_sp_eng+last_letter
frente,t,translate_sp_eng_last,translate_sp_eng+last_letter
atrás,k,translate_sp_eng_last,translate_sp_eng+last_letter
cerca,r,translate_sp_eng_last,translate_sp_eng+last_letter
lejos,r,translate_sp_eng_last,translate_sp_eng+last_letter
primero,t,translate_sp_eng_last,translate_sp_eng+last_letter
último,t,translate_sp_eng_last,translate_sp_eng+last_letter
abierto,n,translate_sp_eng_last,translate_sp_eng+last_letter
cerrado,d,translate_sp_eng_last,translate_sp_eng+last_letter
uno,e,translate_sp_eng_last,translate_sp_eng+last_letter
dos,o,translate_sp_eng_last,translate_sp_eng+last_letter
tres,e,translate_sp_eng_last,translate_sp_eng+last_letter
cuatro,r,translate_sp_eng_last,translate_sp_eng+last_letter
cinco,e,translate_sp_eng_last,translate_sp_eng+last_letter
seis,x,translate_sp_eng_last,translate_sp_eng+last_letter
siete,n,translate_sp_eng_last,translate_sp_eng+last_letter
ocho,t,translate_sp_eng_last,translate_sp_eng+last_letter
nueve,e,translate_sp_eng_last,translate_sp_eng+last_letter
diez,n,translate_sp_eng_last,translate_sp_eng+last_letter
cien,d,translate_sp_eng_last,translate_sp_eng+last_letter
mil,d,translate_sp_eng_last,translate_sp_eng+last_letter
hermano,r,translate_sp_eng_last,translate_sp_eng+last_letter
hermana,r,translate_sp_eng_last,translate_sp_eng+last_letter
padre,r,translate_sp_eng_last,translate_sp_eng+last_letter
madre,r,translate_sp_eng_last,translate_sp_eng+last_letter
hijo,n,translate_sp_eng_last,translate_sp_eng+last_letter
hija,r,translate_sp_eng_last,translate_sp_eng+last_letter
esposo,d,translate_sp_eng_last,translate_sp_eng+last_letter
esposa,e,translate_sp_eng_last,translate_sp_eng+last_letter
abuelo,r,translate_sp_eng_last,translate_sp_eng+last_letter
abuela,r,translate_sp_eng_last,translate_sp_eng+last_letter
tío,e,translate_sp_eng_last,translate_sp_eng+last_letter
tía,t,translate_sp_eng_last,translate_sp_eng+last_letter
primo,n,translate_sp_eng_last,translate_sp_eng+last_letter
rey,g,translate_sp_eng_last,translate_sp_eng+last_letter
reina,n,translate_sp_eng_last,translate_sp_eng+last_letter
príncipe,e,translate_sp_eng_last,translate_sp_eng+last_letter
princesa,s,translate_sp_eng_last,translate_sp_eng+last_letter
hombre,n,translate_sp_eng_last,translate_sp_eng+last_letter
mujer,n,translate_sp_eng_last,translate_sp_eng+last_letter
niña,l,translate_sp_eng_last,translate_sp_eng+last_letter
bebé,y,translate_sp_eng_last,translate_sp_eng+last_letter
médico,r,translate_sp_eng_last,translate_sp_eng+last_letter
enfermera,e,translate_sp_eng_last,translate_sp_eng+last_letter
abogado,r,translate_sp_eng_last,translate_sp_eng+last_letter
policía,e,translate_sp_eng_last,translate_sp_eng+last_letter
soldado,r,translate_sp_eng_last,translate_sp_eng+last_letter
granjero,r,translate_sp_eng_last,translate_sp_eng+last_letter
trabajador,r,translate_sp_eng_last,translate_sp_eng+last_letter
artista,t,translate_sp_eng_last,translate_sp_eng+last_letter
músico,n,translate_sp_eng_last,translate_sp_eng+last_letter
cantante,r,translate_sp_eng_last,translate_sp_eng+last_letter
run,RUNNING,gerund_upper,present_to_gerund+uppercase
swim,SWIMMING,gerund_upper,present_to_gerund+uppercase
walk,WALKING,gerund_upper,present_to_gerund+uppercase
jump,JUMPING,gerund_upper,present_to_gerund+uppercase
dance,DANCING,gerund_upper,present_to_gerund+uppercase
sing,SINGING,gerund_upper,present_to_gerund+uppercase
read,READING,gerund_upper,present_to_gerund+uppercase
write,WRITING,gerund_upper,present_to_gerund+uppercase
sleep,SLEEPING,gerund_upper,present_to_gerund+uppercase
eat,EATING,gerund_upper,present_to_gerund+uppercase
drink,DRINKING,gerund_upper,present_to_gerund+uppercase
talk,TALKING,gerund_upper,present_to_gerund+uppercase
listen,LISTENING,gerund_upper,present_to_gerund+uppercase
think,THINKING,gerund_upper,present_to_gerund+uppercase
work,WORKING,gerund_upper,present_to_gerund+uppercase
play,PLAYING,gerund_upper,present_to_gerund+uppercase
study,STUDYING,gerund_upper,present_to_gerund+uppercase
learn,LEARNING,gerund_upper,present_to_gerund+uppercase
teach,TEACHING,gerund_upper,present_to_gerund+uppercase
build,BUILDING,gerund_upper,present_to_gerund+uppercase
create,CREATING,gerund_upper,present_to_gerund+uppercase
paint,PAINTING,gerund_upper,present_to_gerund+uppercase
draw,DRAWING,gerund_upper,present_to_gerund+uppercase
cook,COOKING,gerund_upper,present_to_gerund+uppercase
bake,BAKING,gerund_upper,present_to_gerund+uppercase
clean,CLEANING,gerund_upper,present_to_gerund+uppercase
wash,WASHING,gerund_upper,present_to_gerund+uppercase
drive,DRIVING,gerund_upper,present_to_gerund+uppercase
fly,FLYING,gerund_upper,present_to_gerund+uppercase
sail,SAILING,gerund_upper,present_to_gerund+uppercase
climb,CLIMBING,gerund_upper,present_to_gerund+uppercase
hike,HIKING,gerund_upper,present_to_gerund+uppercase
bike,BIKING,gerund_upper,present_to_gerund+uppercase
ski,SKIING,gerund_upper,present_to_gerund+uppercase
skate,SKATING,gerund_upper,present_to_gerund+uppercase
fish,FISHING,gerund_upper,present_to_gerund+uppercase
hunt,HUNTING,gerund_upper,present_to_gerund+uppercase
camp,CAMPING,gerund_upper,present_to_gerund+uppercase
travel,TRAVELING,gerund_upper,present_to_gerund+uppercase
explore,EXPLORING,gerund_upper,present_to_gerund+uppercase
laugh,LAUGHING,gerund_upper,present_to_gerund+uppercase
smile,SMILING,gerund_upper,present_to_gerund+uppercase
cry,CRYING,gerund_upper,present_to_gerund+uppercase
shout,SHOUTING,gerund_upper,present_to_gerund+uppercase
whisper,WHISPERING,gerund_upper,present_to_gerund+uppercase
love,LOVING,gerund_upper,present_to_gerund+uppercase
hate,HATING,gerund_upper,present_to_gerund+uppercase
help,HELPING,gerund_upper,present_to_gerund+uppercase
share,SHARING,gerund_upper,present_to_gerund+uppercase
care,CARING,gerund_upper,present_to_gerund+uppercase
meet,MEETING,gerund_upper,present_to_gerund+uppercase
see,SEEING,gerund_upper,present_to_gerund+uppercase
hear,HEARING,gerund_upper,present_to_gerund+uppercase
feel,FEELING,gerund_upper,present_to_gerund+uppercase
smell,SMELLING,gerund_upper,present_to_gerund+uppercase
taste,TASTING,gerund_upper,present_to_gerund+uppercase
touch,TOUCHING,gerund_upper,present_to_gerund+uppercase
hold,HOLDING,gerund_upper,present_to_gerund+uppercase
carry,CARRYING,gerund_upper,present_to_gerund+uppercase
throw,THROWING,gerund_upper,present_to_gerund+uppercase
catch,CATCHING,gerund_upper,present_to_gerund+uppercase
push,PUSHING,gerund_upper,present_to_gerund+uppercase
pull,PULLING,gerund_upper,present_to_gerund+uppercase
open,OPENING,gerund_upper,present_to_gerund+uppercase
close,CLOSING,gerund_upper,present_to_gerund+uppercase
start,STARTING,gerund_upper,present_to_gerund+uppercase
stop,STOPPING,gerund_upper,present_to_gerund+uppercase
begin,BEGINNING,gerund_upper,present_to_gerund+uppercase
end,ENDING,gerund_upper,present_to_gerund+uppercase
finish,FINISHING,gerund_upper,present_to_gerund+uppercase
stand,STANDING,gerund_upper,present_to_gerund+uppercase
sit,SITTING,gerund_upper,present_to_gerund+uppercase
lie,LYING,gerund_upper,present_to_gerund+uppercase
kneel,KNEELING,gerund_upper,present_to_gerund+uppercase
bend,BENDING,gerund_upper,present_to_gerund+uppercase
stretch,STRETCHING,gerund_upper,present_to_gerund+uppercase
relax,RELAXING,gerund_upper,present_to_gerund+uppercase
rest,RESTING,gerund_upper,present_to_gerund+uppercase
wait,WAITING,gerund_upper,present_to_gerund+uppercase
move,MOVING,gerund_upper,present_to_gerund+uppercase
live,LIVING,gerund_upper,present_to_gerund+uppercase
give,GIVING,gerund_upper,present_to_gerund+uppercase
take,TAKING,gerund_upper,present_to_gerund+uppercase
make,MAKING,gerund_upper,present_to_gerund+uppercase
come,COMING,gerund_upper,present_to_gerund+uppercase
leave,LEAVING,gerund_upper,present_to_gerund+uppercase
arrive,ARRIVING,gerund_upper,present_to_gerund+uppercase
believe,BELIEVING,gerund_upper,present_to_gerund+uppercase
achieve,ACHIEVING,gerund_upper,present_to_gerund+uppercase
receive,RECEIVING,gerund_upper,present_to_gerund+uppercase
decide,DECIDING,gerund_upper,present_to_gerund+uppercase
hope,HOPING,gerund_upper,present_to_gerund+uppercase
change,CHANGING,gerund_upper,present_to_gerund+uppercase
manage,MANAGING,gerund_upper,present_to_gerund+uppercase
improve,IMPROVING,gerund_upper,present_to_gerund+uppercase
practice,PRACTICING,gerund_upper,present_to_gerund+uppercase
notice,NOTICING,gerund_upper,present_to_gerund+uppercase
realize,REALIZING,gerund_upper,present_to_gerund+uppercase
organize,ORGANIZING,gerund_upper,present_to_gerund+uppercase
recognize,RECOGNIZING,gerund_upper,present_to_gerund+uppercase
apologize,APOLOGIZING,gerund_upper,present_to_gerund+uppercase
criticize,CRITICIZING,gerund_upper,present_to_gerund+uppercase
advertise,ADVERTISING,gerund_upper,present_to_gerund+uppercase
exercise,EXERCISING,gerund_upper,present_to_gerund+uppercase
surprise,SURPRISING,gerund_upper,present_to_gerund+uppercase
promise,PROMISING,gerund_upper,present_to_gerund+uppercase
imagine,IMAGINING,gerund_upper,present_to_gerund+uppercase
examine,EXAMINING,gerund_upper,present_to_gerund+uppercase
determine,DETERMINING,gerund_upper,present_to_gerund+uppercase
continue,CONTINUING,gerund_upper,present_to_gerund+uppercase
argue,ARGUING,gerund_upper,present_to_gerund+uppercase
issue,ISSUING,gerund_upper,present_to_gerund+uppercase
rescue,RESCUING,gerund_upper,present_to_gerund+uppercase
pursue,PURSUING,gerund_upper,present_to_gerund+uppercase
value,VALUING,gerund_upper,present_to_gerund+uppercase
invite,INVITING,gerund_upper,present_to_gerund+uppercase
excite,EXCITING,gerund_upper,present_to_gerund+uppercase
unite,UNITING,gerund_upper,present_to_gerund+uppercase
compete,COMPETING,gerund_upper,present_to_gerund+uppercase
complete,COMPLETING,gerund_upper,present_to_gerund+uppercase
delete,DELETING,gerund_upper,present_to_gerund+uppercase
greet,GREETING,gerund_upper,present_to_gerund+uppercase
repeat,REPEATING,gerund_upper,present_to_gerund+uppercase
defeat,DEFEATING,gerund_upper,present_to_gerund+uppercase
treat,TREATING,gerund_upper,present_to_gerund+uppercase
relate,RELATING,gerund_upper,present_to_gerund+uppercase
celebrate,CELEBRATING,gerund_upper,present_to_gerund+uppercase
demonstrate,DEMONSTRATING,gerund_upper,present_to_gerund+uppercase
hesitate,HESITATING,gerund_upper,present_to_gerund+uppercase
appreciate,APPRECIATING,gerund_upper,present_to_gerund+uppercase
communicate,COMMUNICATING,gerund_upper,present_to_gerund+uppercase
educate,EDUCATING,gerund_upper,present_to_gerund+uppercase
investigate,INVESTIGATING,gerund_upper,present_to_gerund+uppercase
concentrate,CONCENTRATING,gerund_upper,present_to_gerund+uppercase
cooperate,COOPERATING,gerund_upper,present_to_gerund+uppercase
decorate,DECORATING,gerund_upper,present_to_gerund+uppercase
operate,OPERATING,gerund_upper,present_to_gerund+uppercase
separate,SEPARATING,gerund_upper,present_to_gerund+uppercase
participate,PARTICIPATING,gerund_upper,present_to_gerund+uppercase
navigate,NAVIGATING,gerund_upper,present_to_gerund+uppercase
motivate,MOTIVATING,gerund_upper,present_to_gerund+uppercase
activate,ACTIVATING,gerund_upper,present_to_gerund+uppercase
illustrate,ILLUSTRATING,gerund_upper,present_to_gerund+uppercase
calculate,CALCULATING,gerund_upper,present_to_gerund+uppercase
translate,TRANSLATING,gerund_upper,present_to_gerund+uppercase
accelerate,ACCELERATING,gerund_upper,present_to_gerund+uppercase
dominate,DOMINATING,gerund_upper,present_to_gerund+uppercase
eliminate,ELIMINATING,gerund_upper,present_to_gerund+uppercase
fascinate,FASCINATING,gerund_upper,present_to_gerund+uppercase
generate,GENERATING,gerund_upper,present_to_gerund+uppercase
imitate,IMITATING,gerund_upper,present_to_gerund+uppercase
irritate,IRRITATING,gerund_upper,present_to_gerund+uppercase
meditate,MEDITATING,gerund_upper,present_to_gerund+uppercase
negotiate,NEGOTIATING,gerund_upper,present_to_gerund+uppercase
penetrate,PENETRATING,gerund_upper,present_to_gerund+uppercase
radiate,RADIATING,gerund_upper,present_to_gerund+uppercase
rotate,ROTATING,gerund_upper,present_to_gerund+uppercase
stimulate,STIMULATING,gerund_upper,present_to_gerund+uppercase
tolerate,TOLERATING,gerund_upper,present_to_gerund+uppercase
validate,VALIDATING,gerund_upper,present_to_gerund+uppercase
vibrate,VIBRATING,gerund_upper,present_to_gerund+uppercase
anticipate,ANTICIPATING,gerund_upper,present_to_gerund+uppercase
contemplate,CONTEMPLATING,gerund_upper,present_to_gerund+uppercase
coordinate,COORDINATING,gerund_upper,present_to_gerund+uppercase
cultivate,CULTIVATING,gerund_upper,present_to_gerund+uppercase
dedicate,DEDICATING,gerund_upper,present_to_gerund+uppercase
designate,DESIGNATING,gerund_upper,present_to_gerund+uppercase
deviate,DEVIATING,gerund_upper,present_to_gerund+uppercase
escalate,ESCALATING,gerund_upper,present_to_gerund+uppercase
evaluate,EVALUATING,gerund_upper,present_to_gerund+uppercase
evaporate,EVAPORATING,gerund_upper,present_to_gerund+uppercase
exaggerate,EXAGGERATING,gerund_upper,present_to_gerund+uppercase
hibernate,HIBERNATING,gerund_upper,present_to_gerund+uppercase
incorporate,INCORPORATING,gerund_upper,present_to_gerund+uppercase
innovate,INNOVATING,gerund_upper,present_to_gerund+uppercase
integrate,INTEGRATING,gerund_upper,present_to_gerund+uppercase
initiate,INITIATING,gerund_upper,present_to_gerund+uppercase
terminate,TERMINATING,gerund_upper,present_to_gerund+uppercase
run,running,gerund_lower,present_to_gerund+lowercase
swim,swimming,gerund_lower,present_to_gerund+lowercase
walk,walking,gerund_lower,present_to_gerund+lowercase
jump,jumping,gerund_lower,present_to_gerund+lowercase
dance,dancing,gerund_lower,present_to_gerund+lowercase
sing,singing,gerund_lower,present_to_gerund+lowercase
read,reading,gerund_lower,present_to_gerund+lowercase
write,writing,gerund_lower,present_to_gerund+lowercase
sleep,sleeping,gerund_lower,present_to_gerund+lowercase
eat,eating,gerund_lower,present_to_gerund+lowercase
drink,drinking,gerund_lower,present_to_gerund+lowercase
talk,talking,gerund_lower,present_to_gerund+lowercase
listen,listening,gerund_lower,present_to_gerund+lowercase
think,thinking,gerund_lower,present_to_gerund+lowercase
work,working,gerund_lower,present_to_gerund+lowercase
play,playing,gerund_lower,present_to_gerund+lowercase
study,studying,gerund_lower,present_to_gerund+lowercase
learn,learning,gerund_lower,present_to_gerund+lowercase
teach,teaching,gerund_lower,present_to_gerund+lowercase
build,building,gerund_lower,present_to_gerund+lowercase
create,creating,gerund_lower,present_to_gerund+lowercase
paint,painting,gerund_lower,present_to_gerund+lowercase
draw,drawing,gerund_lower,present_to_gerund+lowercase
cook,cooking,gerund_lower,present_to_gerund+lowercase
bake,baking,gerund_lower,present_to_gerund+lowercase
clean,cleaning,gerund_lower,present_to_gerund+lowercase
wash,washing,gerund_lower,present_to_gerund+lowercase
drive,driving,gerund_lower,present_to_gerund+lowercase
fly,flying,gerund_lower,present_to_gerund+lowercase
sail,sailing,gerund_lower,present_to_gerund+lowercase
climb,climbing,gerund_lower,present_to_gerund+lowercase
hike,hiking,gerund_lower,present_to_gerund+lowercase
bike,biking,gerund_lower,present_to_gerund+lowercase
ski,skiing,gerund_lower,present_to_gerund+lowercase
skate,skating,gerund_lower,present_to_gerund+lowercase
fish,fishing,gerund_lower,present_to_gerund+lowercase
hunt,hunting,gerund_lower,present_to_gerund+lowercase
camp,camping,gerund_lower,present_to_gerund+lowercase
travel,traveling,gerund_lower,present_to_gerund+lowercase
explore,exploring,gerund_lower,present_to_gerund+lowercase
laugh,laughing,gerund_lower,present_to_gerund+lowercase
smile,smiling,gerund_lower,present_to_gerund+lowercase
cry,crying,gerund_lower,present_to_gerund+lowercase
shout,shouting,gerund_lower,present_to_gerund+lowercase
whisper,whispering,gerund_lower,present_to_gerund+lowercase
love,loving,gerund_lower,present_to_gerund+lowercase
hate,hating,gerund_lower,present_to_gerund+lowercase
help,helping,gerund_lower,present_to_gerund+lowercase
share,sharing,gerund_lower,present_to_gerund+lowercase
care,caring,gerund_lower,present_to_gerund+lowercase
meet,meeting,gerund_lower,present_to_gerund+lowercase
see,seeing,gerund_lower,present_to_gerund+lowercase
hear,hearing,gerund_lower,present_to_gerund+lowercase
feel,feeling,gerund_lower,present_to_gerund+lowercase
smell,smelling,gerund_lower,present_to_gerund+lowercase
taste,tasting,gerund_lower,present_to_gerund+lowercase
touch,touching,gerund_lower,present_to_gerund+lowercase
hold,holding,gerund_lower,present_to_gerund+lowercase
carry,carrying,gerund_lower,present_to_gerund+lowercase
throw,throwing,gerund_lower,present_to_gerund+lowercase
catch,catching,gerund_lower,present_to_gerund+lowercase
push,pushing,gerund_lower,present_to_gerund+lowercase
pull,pulling,gerund_lower,present_to_gerund+lowercase
open,opening,gerund_lower,present_to_gerund+lowercase
close,closing,gerund_lower,present_to_gerund+lowercase
start,starting,gerund_lower,present_to_gerund+lowercase
stop,stopping,gerund_lower,present_to_gerund+lowercase
begin,beginning,gerund_lower,present_to_gerund+lowercase
end,ending,gerund_lower,present_to_gerund+lowercase
finish,finishing,gerund_lower,present_to_gerund+lowercase
stand,standing,gerund_lower,present_to_gerund+lowercase
sit,sitting,gerund_lower,present_to_gerund+lowercase
lie,lying,gerund_lower,present_to_gerund+lowercase
kneel,kneeling,gerund_lower,present_to_gerund+lowercase
bend,bending,gerund_lower,present_to_gerund+lowercase
stretch,stretching,gerund_lower,present_to_gerund+lowercase
relax,relaxing,gerund_lower,present_to_gerund+lowercase
rest,resting,gerund_lower,present_to_gerund+lowercase
wait,waiting,gerund_lower,present_to_gerund+lowercase
move,moving,gerund_lower,present_to_gerund+lowercase
live,living,gerund_lower,present_to_gerund+lowercase
give,giving,gerund_lower,present_to_gerund+lowercase
take,taking,gerund_lower,present_to_gerund+lowercase
make,making,gerund_lower,present_to_gerund+lowercase
come,coming,gerund_lower,present_to_gerund+lowercase
leave,leaving,gerund_lower,present_to_gerund+lowercase
arrive,arriving,gerund_lower,present_to_gerund+lowercase
believe,believing,gerund_lower,present_to_gerund+lowercase
achieve,achieving,gerund_lower,present_to_gerund+lowercase
receive,receiving,gerund_lower,present_to_gerund+lowercase
decide,deciding,gerund_lower,present_to_gerund+lowercase
hope,hoping,gerund_lower,present_to_gerund+lowercase
change,changing,gerund_lower,present_to_gerund+lowercase
manage,managing,gerund_lower,present_to_gerund+lowercase
improve,improving,gerund_lower,present_to_gerund+lowercase
practice,practicing,gerund_lower,present_to_gerund+lowercase
notice,noticing,gerund_lower,present_to_gerund+lowercase
realize,realizing,gerund_lower,present_to_gerund+lowercase
organize,organizing,gerund_lower,present_to_gerund+lowercase
recognize,recognizing,gerund_lower,present_to_gerund+lowercase
apologize,apologizing,gerund_lower,present_to_gerund+lowercase
criticize,criticizing,gerund_lower,present_to_gerund+lowercase
advertise,advertising,gerund_lower,present_to_gerund+lowercase
exercise,exercising,gerund_lower,present_to_gerund+lowercase
surprise,surprising,gerund_lower,present_to_gerund+lowercase
promise,promising,gerund_lower,present_to_gerund+lowercase
imagine,imagining,gerund_lower,present_to_gerund+lowercase
examine,examining,gerund_lower,present_to_gerund+lowercase
determine,determining,gerund_lower,present_to_gerund+lowercase
continue,continuing,gerund_lower,present_to_gerund+lowercase
argue,arguing,gerund_lower,present_to_gerund+lowercase
issue,issuing,gerund_lower,present_to_gerund+lowercase
rescue,rescuing,gerund_lower,present_to_gerund+lowercase
pursue,pursuing,gerund_lower,present_to_gerund+lowercase
value,valuing,gerund_lower,present_to_gerund+lowercase
invite,inviting,gerund_lower,present_to_gerund+lowercase
excite,exciting,gerund_lower,present_to_gerund+lowercase
unite,uniting,gerund_lower,present_to_gerund+lowercase
compete,competing,gerund_lower,present_to_gerund+lowercase
complete,completing,gerund_lower,present_to_gerund+lowercase
delete,deleting,gerund_lower,present_to_gerund+lowercase
greet,greeting,gerund_lower,present_to_gerund+lowercase
repeat,repeating,gerund_lower,present_to_gerund+lowercase
defeat,defeating,gerund_lower,present_to_gerund+lowercase
treat,treating,gerund_lower,present_to_gerund+lowercase
relate,relating,gerund_lower,present_to_gerund+lowercase
celebrate,celebrating,gerund_lower,present_to_gerund+lowercase
demonstrate,demonstrating,gerund_lower,present_to_gerund+lowercase
hesitate,hesitating,gerund_lower,present_to_gerund+lowercase
appreciate,appreciating,gerund_lower,present_to_gerund+lowercase
communicate,communicating,gerund_lower,present_to_gerund+lowercase
educate,educating,gerund_lower,present_to_gerund+lowercase
investigate,investigating,gerund_lower,present_to_gerund+lowercase
concentrate,concentrating,gerund_lower,present_to_gerund+lowercase
cooperate,cooperating,gerund_lower,present_to_gerund+lowercase
decorate,decorating,gerund_lower,present_to_gerund+lowercase
operate,operating,gerund_lower,present_to_gerund+lowercase
separate,separating,gerund_lower,present_to_gerund+lowercase
participate,participating,gerund_lower,present_to_gerund+lowercase
navigate,navigating,gerund_lower,present_to_gerund+lowercase
motivate,motivating,gerund_lower,present_to_gerund+lowercase
activate,activating,gerund_lower,present_to_gerund+lowercase
illustrate,illustrating,gerund_lower,present_to_gerund+lowercase
calculate,calculating,gerund_lower,present_to_gerund+lowercase
translate,translating,gerund_lower,present_to_gerund+lowercase
accelerate,accelerating,gerund_lower,present_to_gerund+lowercase
dominate,dominating,gerund_lower,present_to_gerund+lowercase
eliminate,eliminating,gerund_lower,present_to_gerund+lowercase
fascinate,fascinating,gerund_lower,present_to_gerund+lowercase
generate,generating,gerund_lower,present_to_gerund+lowercase
imitate,imitating,gerund_lower,present_to_gerund+lowercase
irritate,irritating,gerund_lower,present_to_gerund+lowercase
meditate,meditating,gerund_lower,present_to_gerund+lowercase
negotiate,negotiating,gerund_lower,present_to_gerund+lowercase
penetrate,penetrating,gerund_lower,present_to_gerund+lowercase
radiate,radiating,gerund_lower,present_to_gerund+lowercase
rotate,rotating,gerund_lower,present_to_gerund+lowercase
stimulate,stimulating,gerund_lower,present_to_gerund+lowercase
tolerate,tolerating,gerund_lower,present_to_gerund+lowercase
validate,validating,gerund_lower,present_to_gerund+lowercase
vibrate,vibrating,gerund_lower,present_to_gerund+lowercase
anticipate,anticipating,gerund_lower,present_to_gerund+lowercase
contemplate,contemplating,gerund_lower,present_to_gerund+lowercase
coordinate,coordinating,gerund_lower,present_to_gerund+lowercase
cultivate,cultivating,gerund_lower,present_to_gerund+lowercase
dedicate,dedicating,gerund_lower,present_to_gerund+lowercase
designate,designating,gerund_lower,present_to_gerund+lowercase
deviate,deviating,gerund_lower,present_to_gerund+lowercase
escalate,escalating,gerund_lower,present_to_gerund+lowercase
evaluate,evaluating,gerund_lower,present_to_gerund+lowercase
evaporate,evaporating,gerund_lower,present_to_gerund+lowercase
exaggerate,exaggerating,gerund_lower,present_to_gerund+lowercase
hibernate,hibernating,gerund_lower,present_to_gerund+lowercase
incorporate,incorporating,gerund_lower,present_to_gerund+lowercase
innovate,innovating,gerund_lower,present_to_gerund+lowercase
integrate,integrating,gerund_lower,present_to_gerund+lowercase
initiate,initiating,gerund_lower,present_to_gerund+lowercase
terminate,terminating,gerund_lower,present_to_gerund+lowercase
run,gninnur,gerund_reverse,present_to_gerund+reverse
swim,gnimmiws,gerund_reverse,present_to_gerund+reverse
walk,gniklaw,gerund_reverse,present_to_gerund+reverse
jump,gnipmuj,gerund_reverse,present_to_gerund+reverse
dance,gnicnad,gerund_reverse,present_to_gerund+reverse
sing,gnignis,gerund_reverse,present_to_gerund+reverse
read,gnidaer,gerund_reverse,present_to_gerund+reverse
write,gnitirw,gerund_reverse,present_to_gerund+reverse
sleep,gnipeels,gerund_reverse,present_to_gerund+reverse
eat,gnitae,gerund_reverse,present_to_gerund+reverse
drink,gniknird,gerund_reverse,present_to_gerund+reverse
talk,gniklat,gerund_reverse,present_to_gerund+reverse
listen,gninetsil,gerund_reverse,present_to_gerund+reverse
think,gnikniht,gerund_reverse,present_to_gerund+reverse
work,gnikrow,gerund_reverse,present_to_gerund+reverse
play,gniyalp,gerund_reverse,present_to_gerund+reverse
study,gniyduts,gerund_reverse,present_to_gerund+reverse
learn,gninrael,gerund_reverse,present_to_gerund+reverse
teach,gnihcaet,gerund_reverse,present_to_gerund+reverse
build,gnidliub,gerund_reverse,present_to_gerund+reverse
create,gnitaerc,gerund_reverse,present_to_gerund+reverse
paint,gnitniap,gerund_reverse,present_to_gerund+reverse
draw,gniward,gerund_reverse,present_to_gerund+reverse
cook,gnikooc,gerund_reverse,present_to_gerund+reverse
bake,gnikab,gerund_reverse,present_to_gerund+reverse
clean,gninaelc,gerund_reverse,present_to_gerund+reverse
wash,gnihsaw,gerund_reverse,present_to_gerund+reverse
drive,gnivird,gerund_reverse,present_to_gerund+reverse
fly,gniylf,gerund_reverse,present_to_gerund+reverse
sail,gnilias,gerund_reverse,present_to_gerund+reverse
climb,gnibmilc,gerund_reverse,present_to_gerund+reverse
hike,gnikih,gerund_reverse,present_to_gerund+reverse
bike,gnikib,gerund_reverse,present_to_gerund+reverse
ski,gniiks,gerund_reverse,present_to_gerund+reverse
skate,gnitaks,gerund_reverse,present_to_gerund+reverse
fish,gnihsif,gerund_reverse,present_to_gerund+reverse
hunt,gnitnuh,gerund_reverse,present_to_gerund+reverse
camp,gnipmac,gerund_reverse,present_to_gerund+reverse
travel,gnilevart,gerund_reverse,present_to_gerund+reverse
explore,gnirolpxe,gerund_reverse,present_to_gerund+reverse
laugh,gnihgual,gerund_reverse,present_to_gerund+reverse
smile,gnilims,gerund_reverse,present_to_gerund+reverse
cry,gniyrc,gerund_reverse,present_to_gerund+reverse
shout,gnituohs,gerund_reverse,present_to_gerund+reverse
whisper,gnirepsihw,gerund_reverse,present_to_gerund+reverse
love,gnivol,gerund_reverse,present_to_gerund+reverse
hate,gnitah,gerund_reverse,present_to_gerund+reverse
help,gnipleh,gerund_reverse,present_to_gerund+reverse
share,gnirahs,gerund_reverse,present_to_gerund+reverse
care,gnirac,gerund_reverse,present_to_gerund+reverse
meet,gniteem,gerund_reverse,present_to_gerund+reverse
see,gniees,gerund_reverse,present_to_gerund+reverse
hear,gniraeh,gerund_reverse,present_to_gerund+reverse
feel,gnileef,gerund_reverse,present_to_gerund+reverse
smell,gnillems,gerund_reverse,present_to_gerund+reverse
taste,gnitsat,gerund_reverse,present_to_gerund+reverse
touch,gnihcuot,gerund_reverse,present_to_gerund+reverse
hold,gnidloh,gerund_reverse,present_to_gerund+reverse
carry,gniyrrac,gerund_reverse,present_to_gerund+reverse
throw,gniworht,gerund_reverse,present_to_gerund+reverse
catch,gnihctac,gerund_reverse,present_to_gerund+reverse
push,gnihsup,gerund_reverse,present_to_gerund+reverse
pull,gnillup,gerund_reverse,present_to_gerund+reverse
open,gninepo,gerund_reverse,present_to_gerund+reverse
close,gnisolc,gerund_reverse,present_to_gerund+reverse
start,gnitrats,gerund_reverse,present_to_gerund+reverse
stop,gnippots,gerund_reverse,present_to_gerund+reverse
begin,gninnigeb,gerund_reverse,present_to_gerund+reverse
end,gnidne,gerund_reverse,present_to_gerund+reverse
finish,gnihsinif,gerund_reverse,present_to_gerund+reverse
stand,gnidnats,gerund_reverse,present_to_gerund+reverse
sit,gnittis,gerund_reverse,present_to_gerund+reverse
lie,gniyl,gerund_reverse,present_to_gerund+reverse
kneel,gnileenk,gerund_reverse,present_to_gerund+reverse
